area,rooms,age,distance_station,renovation,price
65,3,15,5,yes,3200
82,4,8,12,no,4100
45,2,25,3,no,2800
120,5,3,20,no,6500
55,2,40,8,no,1900
78,3,12,6,yes,3800
90,4,5,15,no,4900
38,1,30,2,no,1500
110,4,10,18,no,5600
67,3,20,7,yes,3100
50,2,35,4,no,2200
95,4,7,14,no,5100
72,3,18,9,yes,3400
130,5,2,22,no,7200
48,2,28,5,no,2000
85,4,11,13,no,4400
60,3,22,6,yes,2900
105,4,6,16,no,5400
42,1,45,3,no,1600
88,4,9,14,no,4700
,3,15,5,yes,3200
75,3,,7,no,3500
80,3,14,6,no,
65,2,20,5,yes,2700
92,4,8,13,no,4800
58,2,30,6,no,2300
115,5,4,19,no,6100
70,3,16,8,yes,3300
40,1,50,2,no,1400
98,4,7,15,no,5200
